accuracy,loss,val_accuracy,val_loss
0.871999979019165,0.423223614692688,0.9384999871253967,0.20301304757595062
0.9352499842643738,0.2225329726934433,0.9463750123977661,0.17062421143054962
0.9441875219345093,0.19063515961170197,0.9558749794960022,0.1500122994184494
0.9501562714576721,0.17247503995895386,0.9603750109672546,0.1378747820854187
0.9537187218666077,0.15827374160289764,0.9632499814033508,0.1299537569284439
0.9572187662124634,0.14812913537025452,0.9651250243186951,0.1227700263261795
0.9598437547683716,0.13979999721050262,0.9639999866485596,0.120789535343647
0.9610937237739563,0.13640490174293518,0.965749979019165,0.11594454199075699
0.9616249799728394,0.1336841583251953,0.968625009059906,0.11308679729700089
0.9612812399864197,0.13055671751499176,0.968625009059906,0.11096754670143127
0.9620000123977661,0.12599822878837585,0.968999981880188,0.10642419010400772
0.9624999761581421,0.12347199767827988,0.9695000052452087,0.10681948065757751
0.9631249904632568,0.1210002601146698,0.968500018119812,0.10268673300743103
0.9628750085830688,0.11906367540359497,0.9700000286102295,0.10339727997779846
0.9630937576293945,0.11808953434228897,0.9673749804496765,0.1035628467798233
0.9634062647819519,0.11682483553886414,0.968500018119812,0.10086511820554733
0.96484375,0.11335667967796326,0.9697499871253967,0.09952244162559509
0.9632499814033508,0.11448591202497482,0.9682499766349792,0.09911936521530151
0.9646250009536743,0.11324271559715271,0.9667500257492065,0.10360068082809448
0.9645624756813049,0.11371537297964096,0.96875,0.10250666737556458
0.9634687304496765,0.11103866249322891,0.968625009059906,0.10064686089754105
0.9654687643051147,0.11122642457485199,0.96875,0.09822136908769608
0.9651562571525574,0.11218287795782089,0.9679999947547913,0.09870530664920807
0.9657187461853027,0.10908544808626175,0.9673749804496765,0.0998140275478363
0.9650312662124634,0.10956308990716934,0.9693750143051147,0.09880902618169785
0.9650624990463257,0.10958479344844818,0.9692500233650208,0.09857912361621857
0.9649062752723694,0.10834372788667679,0.9703750014305115,0.09693332016468048
0.965093731880188,0.10878492891788483,0.9682499766349792,0.09714122861623764
0.9646250009536743,0.11034192144870758,0.9670000076293945,0.10127835720777512
0.9648749828338623,0.11086784303188324,0.9676250219345093,0.10054832696914673
